epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,93.583,0.51059,0.59768,0.94867,0.98931,1,0.995,0.87146,0.50875,0.58483,1.24006,0.0005348,0.0005348,0.0005348
39,96.0535,0.47146,0.55837,0.95008,0.99838,1,0.995,0.87007,0.55563,0.6476,1.2824,0.0004952,0.0004952,0.0004952
40,98.4402,0.51251,0.56959,0.94954,1,0.99569,0.995,0.88843,0.5269,0.6513,1.26891,0.0004556,0.0004556,0.0004556
41,137.695,0.47947,0.71855,0.90067,1,0.98953,0.995,0.87938,0.53169,0.6936,1.19837,0.000416,0.000416,0.000416
42,140.134,0.48205,0.66011,0.90263,0.99484,1,0.995,0.91529,0.4336,0.61358,1.09159,0.0003764,0.0003764,0.0003764
43,142.545,0.45755,0.64411,0.90932,0.99032,1,0.995,0.89507,0.42151,0.58495,1.06112,0.0003368,0.0003368,0.0003368
44,144.91,0.65704,0.88901,1.01054,0.99111,1,0.995,0.88706,0.47338,0.53943,1.08439,0.0002972,0.0002972,0.0002972
45,147.334,0.44204,0.58773,0.85664,0.99104,1,0.995,0.88306,0.52643,0.55862,1.12439,0.0002576,0.0002576,0.0002576
46,149.701,0.45178,0.60206,0.89499,0.99108,1,0.995,0.88706,0.53625,0.55337,1.13588,0.000218,0.000218,0.000218
47,152.135,0.43311,0.59157,0.88789,0.99114,1,0.995,0.88706,0.52298,0.56078,1.1298,0.0001784,0.0001784,0.0001784
48,154.512,0.50594,0.63601,0.95021,0.99102,1,0.995,0.88706,0.49549,0.55916,1.098,0.0001388,0.0001388,0.0001388
49,156.84,0.45279,0.59964,0.87067,0.99128,1,0.995,0.89707,0.47223,0.5412,1.07965,9.92e-05,9.92e-05,9.92e-05
50,159.204,0.44629,0.56967,0.87406,0.99123,1,0.995,0.88732,0.4638,0.53105,1.07273,5.96e-05,5.96e-05,5.96e-05
